ensembl_gene_id	hsapiens_homolog_associated_gene_name
204	ENSMUSG00000073811	IFNA21
205	ENSMUSG00000028530	JAK1
206	ENSMUSG00000053581	ZFAND2A
207	ENSMUSG00000063953	AMD1
208	ENSMUSG00000000085	SCMH1
209	ENSMUSG00000060477	IRAK2
210	ENSMUSG00000105432	IGKV4-1
211	ENSMUSG00000010342	TEX14
212	ENSMUSG00000031584	GSR
213	ENSMUSG00000040592	CD79B
214	ENSMUSG00000023009	NCKAP5L
215	ENSMUSG00000064220	HIST2H2AA4
216	ENSMUSG00000064220	HIST2H2AA3
217	ENSMUSG00000027871	HSD3B2
218	ENSMUSG00000027871	HSD3B1
219	ENSMUSG00000031227	MAGEE1
220	ENSMUSG00000033436	ARMCX2
221	ENSMUSG00000020720	PSMD12
222	ENSMUSG00000036913	TRIM67
223	ENSMUSG00000042268	SLC26A9
224	ENSMUSG00000049493	PLS1
225	ENSMUSG00000022471	XRCC6
226	ENSMUSG00000067377	TSPAN6
227	ENSMUSG00000052854	NRK
228	ENSMUSG00000004530	CORO1C
229	ENSMUSG00000031155	PIM2
230	ENSMUSG00000074030	EXOC8
231	ENSMUSG00000015217	HMGB3
232	ENSMUSG00000028654	MYCL
233	ENSMUSG00000048732	KLHL11
234	ENSMUSG00000031986	SPRTN
235	ENSMUSG00000067194	EIF1AX
236	ENSMUSG00000027200	SEMA6D
237	ENSMUSG00000031133	ARHGEF6
238	ENSMUSG00000031987	EGLN1
239	ENSMUSG00000024207	ACSBG2
240	ENSMUSG00000061653	VN1R5
241	ENSMUSG00000060260	PWWP2B
242	ENSMUSG00000027380	ACOXL
243	ENSMUSG00000022875	KNG1
244	ENSMUSG00000056820	TSNAX
245	ENSMUSG00000005936	KCTD20
246	ENSMUSG00000001157	GMCL2
247	ENSMUSG00000001157	GMCL1
248	ENSMUSG00000044499	HS3ST5
249	ENSMUSG00000045912	C2CD4C
250	ENSMUSG00000034401	SPATA6
251	ENSMUSG00000058325	DOCK1
252	ENSMUSG00000009681	BCR
253	ENSMUSG00000043051	DISC1
254	ENSMUSG00000040389	WDR47
255	ENSMUSG00000027087	ITGAV
256	ENSMUSG00000066406	AKAP13
257	ENSMUSG00000020102	SLC16A7
258	ENSMUSG00000004980	HNRNPA2B1
259	ENSMUSG00000018634	CRHR1
260	ENSMUSG00000018634	LINC02210-CRHR1
261	ENSMUSG00000022472	DESI1
262	ENSMUSG00000058488	KL
263	ENSMUSG00000028876	EPHA10
264	ENSMUSG00000022797	TFRC
265	ENSMUSG00000034932	MRPL54
266	ENSMUSG00000028653	TRIT1
267	ENSMUSG00000066359	TCL1B
268	ENSMUSG00000038370	PCP4L1
269	ENSMUSG00000000701	TCL1B
270	ENSMUSG00000043439	EPOP
271	ENSMUSG00000033210	SLC9C1
272	ENSMUSG00000076586	IGKV4-1
273	ENSMUSG00000022913	PSMG1
274	ENSMUSG00000026708	CENPL
275	ENSMUSG00000001995	SIPA1L2
276	ENSMUSG00000052759	GPR25
277	ENSMUSG00000041570	CAMSAP2
278	ENSMUSG00000031429	PSMD10
279	ENSMUSG00000027581	STMN3
280	ENSMUSG00000063820	ARL9
281	ENSMUSG00000022683	PLA2G10
282	ENSMUSG00000029248	THEGL
283	ENSMUSG00000031635	ANXA10
284	ENSMUSG00000038437	MLLT6
285	ENSMUSG00000031672	GOT2
286	ENSMUSG00000029504	DDX51
287	ENSMUSG00000044881	COA4
288	ENSMUSG00000025477	INPP5A
289	ENSMUSG00000037514	PANK2
290	ENSMUSG00000068940	TCL1B
291	ENSMUSG00000009093	GSTT4
292	ENSMUSG00000079007	TCL1B
293	ENSMUSG00000022682	RRN3
294	ENSMUSG00000037202	PRF1
295	ENSMUSG00000027870	HAO2
296	ENSMUSG00000023267	GABRR2
297	ENSMUSG00000026866	KYNU
298	ENSMUSG00000042035	IGSF3
299	ENSMUSG00000050930	MAP10
300	ENSMUSG00000020105	LRIG3
301	ENSMUSG00000058254	TSPAN7
302	ENSMUSG00000061080	LSAMP
303	ENSMUSG00000031851	NTPCR
304	ENSMUSG00000060724	VN1R5
305	ENSMUSG00000031026	TRIM66
306	ENSMUSG00000073805	INSYN2
307	ENSMUSG00000074220	ZNF382
308	ENSMUSG00000018189	UCHL5
309	ENSMUSG00000020092	PALD1
310	ENSMUSG00000031506	PTPN7
311	ENSMUSG00000030706	MRPL48
312	ENSMUSG00000057103	NAT8
313	ENSMUSG00000057103	NAT8B
314	ENSMUSG00000026849	TOR1A
315	ENSMUSG00000048911	RNF24
316	ENSMUSG00000054226	TPRKB
317	ENSMUSG00000032469	DBR1
318	ENSMUSG00000032965	IFT57
319	ENSMUSG00000052609	PLEKHG3
320	ENSMUSG00000041309	NKX6-2
321	ENSMUSG00000041020	MAP7D2
322	ENSMUSG00000060212	PCNX2
323	ENSMUSG00000041245	WNK3
324	ENSMUSG00000001473	TUBB6
325	ENSMUSG00000032409	ATR
326	ENSMUSG00000105827	HIST2H2BF
327	ENSMUSG00000030876	METTL9
328	ENSMUSG00000030704	RAB6A
329	ENSMUSG00000044700	TMEM201
330	ENSMUSG00000053388	TRIM50
331	ENSMUSG00000005677	NR1I3
332	ENSMUSG00000027428	RBBP9
333	ENSMUSG00000032067	PTS
334	ENSMUSG00000032666	C1orf21
335	ENSMUSG00000030098	GRIP2
336	ENSMUSG00000033318	GSTT2B
337	ENSMUSG00000033318	GSTT2
338	ENSMUSG00000035004	IGSF6
339	ENSMUSG00000026587	ASTN1
340	ENSMUSG00000057592	VN1R5
341	ENSMUSG00000020917	ACLY
342	ENSMUSG00000021061	SPTB
343	ENSMUSG00000095932	VN1R5
344	ENSMUSG00000029706	PAX4
345	ENSMUSG00000079418	ATG4A
346	ENSMUSG00000025262	FAM120C
347	ENSMUSG00000020614	FAM20A
348	ENSMUSG00000019942	CDK1
349	ENSMUSG00000001017	CHTOP
350	ENSMUSG00000024527	AFG3L2
351	ENSMUSG00000038644	POLD1
352	ENSMUSG00000031853	MAP3K21
353	ENSMUSG00000041353	FAM156A
354	ENSMUSG00000041353	AC234031.1
355	ENSMUSG00000033307	MIF
356	ENSMUSG00000026159	AGFG1
357	ENSMUSG00000005674	TOMM40L
358	ENSMUSG00000033998	KCNK1
359	ENSMUSG00000019810	FUCA2
360	ENSMUSG00000026721	RABGAP1L
361	ENSMUSG00000009115	SPATC1L
362	ENSMUSG00000057060	SLC35F3
363	ENSMUSG00000020721	HELZ
364	ENSMUSG00000075551	CYP3A43
365	ENSMUSG00000075551	CYP3A5
366	ENSMUSG00000075551	CYP3A4
367	ENSMUSG00000075551	CYP3A7-CYP3A51P
368	ENSMUSG00000075551	CYP3A7
369	ENSMUSG00000031480	THSD1
370	ENSMUSG00000051671	COA6
371	ENSMUSG00000022707	GBE1
372	ENSMUSG00000021222	DCAF4L2
373	ENSMUSG00000021222	DCAF4
374	ENSMUSG00000090290	TARBP1
375	ENSMUSG00000032410	XRN1
376	ENSMUSG00000015947	FCGR1B
377	ENSMUSG00000015947	FCGR1A
378	ENSMUSG00000094553	VN1R5
379	ENSMUSG00000018377	VEZF1
380	ENSMUSG00000001027	SCN4A
381	ENSMUSG00000031556	TM2D2
382	ENSMUSG00000096594	IGKV4-1
383	ENSMUSG00000029546	UNCX
384	ENSMUSG00000028873	CDCA8
385	ENSMUSG00000033701	ACBD6
386	ENSMUSG00000063376	IFNA16
387	ENSMUSG00000063376	IFNA2
388	ENSMUSG00000063376	IFNA5
389	ENSMUSG00000063376	IFNA8
390	ENSMUSG00000063376	IFNA17
391	ENSMUSG00000063376	IFNA7
392	ENSMUSG00000063376	IFNA10
393	ENSMUSG00000063376	IFNA14
394	ENSMUSG00000063376	IFNA4
395	ENSMUSG00000063376	IFNA13
396	ENSMUSG00000063376	IFNA6
397	ENSMUSG00000063376	IFNA1
398	ENSMUSG00000063376	IFNA21
399	ENSMUSG00000051495	IRF2BP2
400	ENSMUSG00000054417	CYP3A43
401	ENSMUSG00000054417	CYP3A5
402	ENSMUSG00000054417	CYP3A4
403	ENSMUSG00000054417	CYP3A7-CYP3A51P
404	ENSMUSG00000054417	CYP3A7
405	ENSMUSG00000052273	DNAH3
406	ENSMUSG00000027805	PFN2
407	ENSMUSG00000034403	PJA1
408	ENSMUSG00000026426	ARL8A
409	ENSMUSG00000071392	ECT2L
410	ENSMUSG00000036510	CDH8
411	ENSMUSG00000037029	ZNF146
412	ENSMUSG00000093904	TOMM20
413	ENSMUSG00000039163	CMC1
414	ENSMUSG00000004931	APBA3
415	ENSMUSG00000047632	FGFBP3
416	ENSMUSG00000039285	AZI2
417	ENSMUSG00000074218	COX7A1
418	ENSMUSG00000030257	SRGAP3
419	ENSMUSG00000033931	RBM34
420	ENSMUSG00000027274	MKKS
421	ENSMUSG00000046480	SCN4B
422	ENSMUSG00000032599	IP6K2
423	ENSMUSG00000040123	ZMYM5
424	ENSMUSG00000031253	SRPX2
425	ENSMUSG00000044730	C1orf109
426	ENSMUSG00000030678	MAZ
427	ENSMUSG00000029716	TFR2
428	ENSMUSG00000048787	DCUN1D3
429	ENSMUSG00000040565	BTAF1
430	ENSMUSG00000000916	NSUN5
431	ENSMUSG00000025648	PFKFB4
432	ENSMUSG00000034917	TJP3
433	ENSMUSG00000037712	FERMT2
434	ENSMUSG00000104633	PMS2
435	ENSMUSG00000042178	ARMC5
436	ENSMUSG00000030922	LYRM1
437	ENSMUSG00000079109	PMS2
438	ENSMUSG00000037251	POMK
439	ENSMUSG00000116563	AL034430.2
440	ENSMUSG00000027381	BCL2L11
441	ENSMUSG00000115423	AL034430.1
442	ENSMUSG00000041359	AL139020.1
443	ENSMUSG00000027281	SLX4IP
444	ENSMUSG00000053293	POM121
445	ENSMUSG00000053293	POM121C
446	ENSMUSG00000024530	PRELID3A
447	ENSMUSG00000027883	GPSM2
448	ENSMUSG00000009092	DERL3
449	ENSMUSG00000043110	LRRN4
450	ENSMUSG00000060509	XCR1
451	ENSMUSG00000032394	IGDCC3
452	ENSMUSG00000046546	FAM43A
453	ENSMUSG00000027884	CLCC1
454	ENSMUSG00000001794	CAPNS1
455	ENSMUSG00000074991	GABRR3
456	ENSMUSG00000025436	ATP23
457	ENSMUSG00000001155	FTCD
458	ENSMUSG00000079235	AC006059.2
459	ENSMUSG00000079235	CCDC13
460	ENSMUSG00000076589	IGKV4-1
461	ENSMUSG00000040929	RFX3
462	ENSMUSG00000025804	CCR1
463	ENSMUSG00000038429	USP5
464	ENSMUSG00000094651	GAL3ST2
465	ENSMUSG00000025812	PARD3
466	ENSMUSG00000034243	GOLGB1
467	ENSMUSG00000033161	ATP1A1
468	ENSMUSG00000027356	FERMT1
469	ENSMUSG00000026405	C4BPA
470	ENSMUSG00000078355	IFNA16
471	ENSMUSG00000078355	IFNA2
472	ENSMUSG00000078355	IFNA5
473	ENSMUSG00000078355	IFNA8
474	ENSMUSG00000078355	IFNA17
475	ENSMUSG00000078355	IFNA7
476	ENSMUSG00000078355	IFNA10
477	ENSMUSG00000078355	IFNA14
478	ENSMUSG00000078355	IFNA4
479	ENSMUSG00000078355	IFNA13
480	ENSMUSG00000078355	IFNA6
481	ENSMUSG00000078355	IFNA1
482	ENSMUSG00000078355	IFNA21
483	ENSMUSG00000029657	HSPH1
484	ENSMUSG00000031156	SLC35A2
485	ENSMUSG00000031523	DLC1
486	ENSMUSG00000031230	FGF16
487	ENSMUSG00000028078	DCLK2
488	ENSMUSG00000031284	PAK3
489	ENSMUSG00000039217	IL18
490	ENSMUSG00000037171	NODAL
491	ENSMUSG00000025081	TDRD1
492	ENSMUSG00000071719	FAM155B
493	ENSMUSG00000015994	FNTA
494	ENSMUSG00000030782	TGFB1I1
495	ENSMUSG00000060816	VN1R5
496	ENSMUSG00000032065	TEX12
497	ENSMUSG00000030659	NUCB2
498	ENSMUSG00000035697	ARHGAP45
499	ENSMUSG00000049506	SPPL2C
500	ENSMUSG00000032066	BCO2
501	ENSMUSG00000062546	VN1R5
502	ENSMUSG00000074881	MAGEB6B
503	ENSMUSG00000074881	MAGEB6
504	ENSMUSG00000034055	PHKA1
505	ENSMUSG00000062818	VN1R5
506	ENSMUSG00000033411	CTDSPL2
507	ENSMUSG00000009941	NXF5
508	ENSMUSG00000009941	NXF2
509	ENSMUSG00000009941	NXF2B
510	ENSMUSG00000038685	RTEL1
511	ENSMUSG00000038685	RTEL1-TNFRSF6B
512	ENSMUSG00000066058	CLDN19
513	ENSMUSG00000022914	BRWD1
514	ENSMUSG00000075569	RSPH10B
515	ENSMUSG00000075569	RSPH10B2
516	ENSMUSG00000057697	VN1R5
517	ENSMUSG00000061244	EXOC5
518	ENSMUSG00000001998	AP4E1
519	ENSMUSG00000026239	PDE6D
520	ENSMUSG00000026468	LHX4
521	ENSMUSG00000041237	PKLR
522	ENSMUSG00000004233	WARS2
523	ENSMUSG00000027840	WNT2B
524	ENSMUSG00000036291	AP5M1
525	ENSMUSG00000020546	STXBP4
526	ENSMUSG00000022723	CRYBG3
527	ENSMUSG00000036241	UBE2R2
528	ENSMUSG00000031481	TPTE
529	ENSMUSG00000031481	TPTE2
530	ENSMUSG00000026851	C9orf78
531	ENSMUSG00000037525	BCDIN3D
532	ENSMUSG00000020091	EIF4EBP2
533	ENSMUSG00000021481	ZNF346
534	ENSMUSG00000026012	CD28
535	ENSMUSG00000028051	HCN3
536	ENSMUSG00000024533	SPIRE1
537	ENSMUSG00000022724	RIOX2
538	ENSMUSG00000044556	TEX38
539	ENSMUSG00000025287	ACOT9
540	ENSMUSG00000074677	SIRPB1
541	ENSMUSG00000074677	SIRPA
542	ENSMUSG00000074677	AL049634.2
543	ENSMUSG00000074677	SIRPG
544	ENSMUSG00000018411	MAPT
545	ENSMUSG00000059327	EDA
546	ENSMUSG00000036718	MICALL2
547	ENSMUSG00000029994	ANXA4
548	ENSMUSG00000056952	TATDN2
549	ENSMUSG00000056952	AC022384.1
550	ENSMUSG00000027429	SEC23B
551	ENSMUSG00000044026	SLC35G1
552	ENSMUSG00000027185	NAT10
553	ENSMUSG00000031488	RAB11FIP1
554	ENSMUSG00000024998	PLCE1
555	ENSMUSG00000008035	MID1IP1
556	ENSMUSG00000033444	SPECC1L
557	ENSMUSG00000033444	SPECC1L-ADORA2A
558	ENSMUSG00000032091	TMPRSS4
559	ENSMUSG00000026424	GPR37L1
560	ENSMUSG00000026037	ORC2
561	ENSMUSG00000030541	IDH2
562	ENSMUSG00000091996	SMIM35
563	ENSMUSG00000025271	PFKFB1
564	ENSMUSG00000041926	RNPEP
565	ENSMUSG00000022681	NTAN1
566	ENSMUSG00000022863	BTG3
567	ENSMUSG00000043430	PSAPL1
568	ENSMUSG00000033557	FAM20B
569	ENSMUSG00000029093	SORCS2
570	ENSMUSG00000022865	CXADR
571	ENSMUSG00000022865	AC136352.3
572	ENSMUSG00000018340	ANXA6
573	ENSMUSG00000023032	SLC4A8
574	ENSMUSG00000037151	LRRC20
575	ENSMUSG00000026036	NIF3L1
576	ENSMUSG00000096145	VKORC1
577	ENSMUSG00000031273	COL4A6
578	ENSMUSG00000022680	PDXDC1
579	ENSMUSG00000049728	ZNF668
580	ENSMUSG00000074491	CLEC4G
581	ENSMUSG00000003051	ELF3
582	ENSMUSG00000004988	FXYD4
583	ENSMUSG00000009394	SYN2
584	ENSMUSG00000005687	BCAS2
585	ENSMUSG00000025270	ALAS2
586	ENSMUSG00000020349	PPP2CA
587	ENSMUSG00000030804	VKORC1
588	ENSMUSG00000044139	PRSS53
589	ENSMUSG00000042251	PM20D1
590	ENSMUSG00000004035	GSTM2
591	ENSMUSG00000014980	TSEN15
592	ENSMUSG00000059554	CCDC28A
593	ENSMUSG00000030717	NUPR1
594	ENSMUSG00000049739	ZNF646
595	ENSMUSG00000054162	SPOCK3
596	ENSMUSG00000019777	HDAC2
597	ENSMUSG00000022659	GCSAM
598	ENSMUSG00000027887	SYPL2
599	ENSMUSG00000055447	CD47
600	ENSMUSG00000022831	HCLS1
601	ENSMUSG00000025269	APEX2
602	ENSMUSG00000044080	S100A1
603	ENSMUSG00000037953	A4GNT
604	ENSMUSG00000030317	TIMP4
605	ENSMUSG00000078354	IFNA16
606	ENSMUSG00000078354	IFNA2
607	ENSMUSG00000078354	IFNA5
608	ENSMUSG00000078354	IFNA8
609	ENSMUSG00000078354	IFNA17
610	ENSMUSG00000078354	IFNA7
611	ENSMUSG00000078354	IFNA10
612	ENSMUSG00000078354	IFNA14
613	ENSMUSG00000078354	IFNA4
614	ENSMUSG00000078354	IFNA13
615	ENSMUSG00000078354	IFNA6
616	ENSMUSG00000078354	IFNA1
617	ENSMUSG00000078354	IFNA21
618	ENSMUSG00000029534	ST7
619	ENSMUSG00000100079	IFNA16
620	ENSMUSG00000100079	IFNA2
621	ENSMUSG00000100079	IFNA5
622	ENSMUSG00000100079	IFNA8
623	ENSMUSG00000100079	IFNA17
624	ENSMUSG00000100079	IFNA7
625	ENSMUSG00000100079	IFNA10
626	ENSMUSG00000100079	IFNA14
627	ENSMUSG00000100079	IFNA4
628	ENSMUSG00000100079	IFNA13
629	ENSMUSG00000100079	IFNA6
630	ENSMUSG00000100079	IFNA1
631	ENSMUSG00000100079	IFNA21
632	ENSMUSG00000025465	ECHS1
633	ENSMUSG00000037697	DDHD1
634	ENSMUSG00000020523	FAM114A2
635	ENSMUSG00000037406	HTRA4
636	ENSMUSG00000028433	UBAP2
637	ENSMUSG00000047203	VN1R5
638	ENSMUSG00000030030	C2orf81
639	ENSMUSG00000030030	AC005041.1
640	ENSMUSG00000066278	VPS37B
641	ENSMUSG00000009210	PRR29
642	ENSMUSG00000023505	CDCA3
643	ENSMUSG00000074749	KIZ
644	ENSMUSG00000025464	PAOX
645	ENSMUSG00000016382	PLS3
646	ENSMUSG00000031557	PLEKHA2
647	ENSMUSG00000039720	GOT1L1
648	ENSMUSG00000031255	SYTL4
649	ENSMUSG00000036975	TMEM177
650	ENSMUSG00000000915	HIP1R
651	ENSMUSG00000035963	ODF3L2
652	ENSMUSG00000031229	ATRX
653	ENSMUSG00000029477	MORN3
654	ENSMUSG00000036962	CFAP221
655	ENSMUSG00000054387	MDM4
656	ENSMUSG00000031594	FGL1
657	ENSMUSG00000020734	GRIN2C
658	ENSMUSG00000062127	CTTNBP2NL
659	ENSMUSG00000068749	PSMA5
660	ENSMUSG00000038523	C20orf144
661	ENSMUSG00000016128	STARD13
662	ENSMUSG00000027489	NECAB3
663	ENSMUSG00000047518	SLFNL1
664	ENSMUSG00000020284	CFAP410
665	ENSMUSG00000057948	UNC13D
666	ENSMUSG00000031865	DCTN1
667	ENSMUSG00000031865	AC006030.1
668	ENSMUSG00000027303	PTPRA
669	ENSMUSG00000044763	TRMT10C
670	ENSMUSG00000030134	RASGEF1A
671	ENSMUSG00000061032	RRP1
672	ENSMUSG00000026240	COPS7B
673	ENSMUSG00000020486	SEPT4
674	ENSMUSG00000028639	YBX1
675	ENSMUSG00000056380	GPR50
676	ENSMUSG00000025289	PRDX4
677	ENSMUSG00000056035	CYP3A43
678	ENSMUSG00000056035	CYP3A5
679	ENSMUSG00000056035	CYP3A4
680	ENSMUSG00000056035	CYP3A7-CYP3A51P
681	ENSMUSG00000056035	CYP3A7
682	ENSMUSG00000028392	BSPRY
683	ENSMUSG00000036892	PRODH2
684	ENSMUSG00000027420	BFSP1
685	ENSMUSG00000078129	ACTL10
686	ENSMUSG00000023439	GNB3
687	ENSMUSG00000074384	C8orf48
688	ENSMUSG00000005364	IL5RA
689	ENSMUSG00000052917	SENP7
690	ENSMUSG00000028633	CTPS1
691	ENSMUSG00000049694	C3orf22
692	ENSMUSG00000042628	ZFYVE1
